Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Jiglu,https://www.crunchbase.com/organization/jiglu,2003-01-01,year,1-10,"Jiglu (Dynamic Discovery Ltd) is a London-based software company specialising in semantic technologies, with applications in content aggregation and collaboration. The company's current product, Jiglu Social Business Software, is a unified solution that adds information mining, personalisation and social surfaces to an organisation. It aggregates and connects information from both internal assets, such as an intranet, and relevant external content like social media. This is presented to users in a personalised activity stream, from where they can share and discuss items with others. In 2007 it launched the Jiglu Widget, a service that automatically tagged blogs and provided them with an enhanced navigation layer. This has since been discontinued. The company was founded by Stephen Hebditch, co-founder and former CTO of leading content management vendor Mediasurface, later acquired by Alterian and then SDL. Investors include Fritas A/S and Oxford Technology 4 VCT.",http://www.jiglu.com,"Collaboration, Information Technology, SEO, Software","London, England, United Kingdom",Jiglu is a London-based software company specializing in semantic technologies for applications in content aggregation and collaboration.,"678,623",,,,,,,,,,,,
Toyota InfoTechnology Center,https://www.crunchbase.com/organization/toyota-infotechnology-center,2003-01-01,year,11-50,"TOYOTA InfoTechnology Center, U.S.A., Inc brings together individuals from different backgrounds, cultures, and thinking styles to work at the forefront of the rapidly-changing IT industry. This is why they can invent, apply, develop, and deliver breakthrough analysis, processes, and technologies. In their main facilities, located in Mountain View, California and New York, they conduct their own research and also collaborate with external organizations to do broad research and analysis. They strive to be world-class technologists looking for greater innovation and future application opportunities in the automobile industry.",http://us.toyota-itc.com/,"Apps, Collaboration, Information Technology","Mountain View, California, United States",Find and create information technology discoveries and business models for toyota.,"682,361",,,,,,,,,,,,
Synchris,https://www.crunchbase.com/organization/synchris,2003-01-01,year,11-50,"Synchris (formerly MAP ROI Systems) is a developer of G-Force(TM), the most effective integrated, collaborative, end-to-end web based system for identifying, qualifying, proposing and managing government contracts.",http://www.maproi.com/,"Collaboration, Enterprise Software, Information Technology, IT Management, Software","Sterling, Virginia, United States",Synchris is a provider of bid lifecycle management software for government contractors.,"878,946",,,,,,,,,,,,
Drum,https://www.crunchbase.com/organization/drum-2,2003-01-01,year,11-50,"Drum makes it easy to meet and collaborate with colleagues and customers, wherever they are. Use Drum to create meetings, share documents, take notes, assign tasks and keep all your meetings in one, central location. Drum's low start up cost, rich features and revenue-driving business model make it compelling as an offer for your business portfolio and your customers.",http://www.thisisdrum.com,"Collaboration, Software, Telecommunications, VoIP","Brighton, East Sussex, United Kingdom",Drum is a browser based web meetings application.,"1,185,387",,,,,,,,,,,,
TeamPoint,https://www.crunchbase.com/organization/teampoint,2003-01-01,day,11-50,"TeamPoint is a managed service provider and supports customers through its partner network. It offers its customers qualified services for all network, IT, and telecommunications issues.",https://www.tpsys.de,"Collaboration, Professional Services, Telecommunications","Dortmund, Nordrhein-Westfalen, Germany",TeamPoint offers professional business communication solutions.,"1,282,919",,,,,,,,,,,,
impara,https://www.crunchbase.com/organization/impara,2003-01-01,year,,"Impara's work revolves around learning environments, collaborations, and computer games. Their multimedia tools are intended for school and private use, without requiring extensive training or any programming knowledge.",http://impara.de/index_engl.html,"Collaboration, Education, Gaming","Magdeburg-rothensee, Sachsen-Anhalt, Germany","Impara's work revolves around learning environments, collaborations, and computer games.","1,371,845",,,,,,,,,,,,
HOMMES & PROCESS,https://www.crunchbase.com/organization/hommes-et-process,2003-01-01,year,11-50,"HOMMES & PROCESS helps bring social computing and collaborative applications to businesses in a secure and impactful way. As a Microsoft Gold Certified Partner, it specializes in Microsoft Office Groove deployments.",http://www.hommesetprocess.com,"Collaboration, Data Integration, File Sharing, Mobile, Security, Software, Telecommunications, Training","Acigné, Bretagne, France",HOMMES & PROCESS helps bring social computing and collaborative applications to businesses in a secure and impactful way.,"1,575,040",,,,,,,,,,,,
GatherWorks,https://www.crunchbase.com/organization/gatherworks,2003-01-01,day,,,https://www.gatherworks.com/,"Collaboration, Small and Medium Businesses, Software, Video","Amherst, New Hampshire, United States",GatherWorks provides software add-ons for video conferencing.,"1,796,282","1,758",,,,45,1.81,,59.44%,,"5,452,689",,
Zebralog,https://www.crunchbase.com/organization/zebralog,2003-01-01,day,11-50,,https://www.zebralog.de/,"Collaboration, Consulting, Public Relations","Berlin, Berlin, Germany",Zebralog is a consulting agency for cross-media dialogue processes.,"2,086,282","5,467",,945.32%,388.89%,44,1.71,-14.29%,57.14%,,"3,317,186","-4,778,023",-59.02%
Phora Group,https://www.crunchbase.com/organization/phora-group,2003-01-01,year,1-10,,https://www.phoragroup.com/index.html,"Apps, Collaboration, Data Center Automation, Software, Software Engineering","Evanston, Illinois, United States","Phora Group provides software products designed for app development, business process automation, team collaboration, and OEM services.","2,106,825",,,,,,,,,,,,
Social Synapps,https://www.crunchbase.com/organization/social-synapps,2003-01-01,year,11-50,"Social Synapps is developing an internet based service with wich they aim to contribute to improve the prestige construction process, making it more colaborative and, therefor, richer and wider.",http://socialsynapps.com/?reqp=1&reqr=,"Collaboration, Internet, Mobile","Paterna De Rivera, Andalucia, Spain",Internet based service,"2,189,699",,,,,,,,,,,,
Third Lane Technologies,https://www.crunchbase.com/organization/third-lane-technologies-llc,2003-02-23,day,11-50,"Third Lane Technologies provides unified communications solutions for businesses, Internet Telephony Service Providers, and Call Center Operators. Cloud based or on-premises, Thirdlane solutions make advanced business communication and collaboration simple and affordable. Thirdlane's UC solutions are recognized in the industry for being highly customizable and reseller/integrator friendly.  Relaibility, advanced features, open architecture and market-leading prices made Thirdlane products the clear choice for thousands of customers and partners worldwide.",https://www.thirdlane.com,"Collaboration, Enterprise Software, Software, VoIP","Fairfax, California, United States",Thirdlane provides Unified Communication solutions - cloud based or on-premises,"742,189","4,234","2,496.67",44.01%,511.46%,587,3.84,149.64%,53.14%,14.87%,"3,682,835","-589,531",-13.8%
